employee_id,first_name,last_name,age,gender,department,job_title,education,experience_years,salary,attrition,attrition_date,hire_date,technical_background,performance_rating,work_life_balance,overtime,travel_frequently,training_times_last_year
48,Employee48,LastName48,47,Female,Marketing,Content Manager,Bachelor,7,136382,No,,2011-09-15,No,3,5,Yes,Yes,5
49,Employee49,LastName49,64,Female,Sales,Sales Director,Bachelor,12,100057,No,,2011-07-19,No,4,1,No,No,10
50,Employee50,LastName50,31,Female,Operations,Production Manager,PhD,14,115539,No,,2013-12-13,No,4,4,No,No,5
51,Employee51,LastName51,27,Male,Operations,Logistics Manager,PhD,9,124997,No,,2020-02-10,No,4,3,Yes,No,5
52,Employee52,LastName52,35,Female,IT,QA Engineer,Bachelor,12,112715,No,,2015-10-18,No,2,1,Yes,No,7
53,Employee53,LastName53,52,Male,Sales,Sales Manager,Master,16,74045,No,,2020-01-20,No,4,2,No,No,7
54,Employee54,LastName54,49,Female,Sales,Account Manager,Master,18,85189,No,,2017-06-02,No,3,2,Yes,Yes,5
55,Employee55,LastName55,34,Male,HR,Training Specialist,PhD,7,123222,No,,2020-11-10,No,3,1,Yes,No,3
56,Employee56,LastName56,41,Male,R&D,Research Manager,Master,1,136411,Yes,2022-04-26,2021-12-24,Yes,2,4,Yes,Yes,9
57,Employee57,LastName57,52,Female,R&D,Principal Scientist,Bachelor,15,53564,Yes,2018-01-05,2017-08-23,No,4,4,Yes,Yes,2
58,Employee58,LastName58,27,Female,IT,QA Engineer,PhD,8,148643,No,,2012-08-28,No,5,2,No,No,7
59,Employee59,LastName59,41,Female,R&D,Research Director,PhD,19,72659,No,,2011-05-09,Yes,3,1,Yes,Yes,2
60,Employee60,LastName60,32,Male,Sales,Account Manager,Master,1,49278,No,,2019-03-01,No,2,3,No,No,1
61,Employee61,LastName61,38,Male,Marketing,Product Manager,Bachelor,19,129886,No,,2014-06-09,No,2,3,Yes,Yes,0
62,Employee62,LastName62,60,Female,IT,Backend Developer,Master,19,136715,No,,2016-06-22,No,4,3,No,No,1
63,Employee63,LastName63,49,Male,Sales,Sales Manager,Bachelor,11,133381,No,,2023-07-17,No,5,5,Yes,No,9
64,Employee64,LastName64,52,Male,HR,HR Specialist,PhD,17,102132,No,,2019-12-02,No,4,1,No,No,6
65,Employee65,LastName65,64,Female,R&D,Senior Scientist,PhD,4,97488,Yes,2017-07-30,2013-08-10,No,5,1,No,Yes,5
66,Employee66,LastName66,29,Female,R&D,Research Manager,Master,13,99165,No,,2021-07-17,Yes,1,2,No,No,10
67,Employee67,LastName67,35,Male,Finance,Senior Analyst,PhD,9,108532,Yes,2024-01-06,2022-04-27,No,1,1,Yes,Yes,4
68,Employee68,LastName68,57,Male,Sales,Sales Manager,Master,14,60396,No,,2012-02-03,No,2,4,No,No,6
69,Employee69,LastName69,52,Female,Operations,Logistics Manager,Bachelor,8,123561,No,,2020-03-30,No,5,2,Yes,No,6
70,Employee70,LastName70,22,Female,R&D,Principal Engineer,Master,10,115592,No,,2016-09-11,No,4,3,No,No,7
71,Employee71,LastName71,37,Male,R&D,Research Scientist,Master,19,142609,Yes,2023-01-08,2018-08-04,No,4,4,No,Yes,7
72,Employee72,LastName72,54,Male,HR,Recruiter,Bachelor,19,113937,No,,2017-06-12,No,4,1,Yes,No,10
73,Employee73,LastName73,52,Male,IT,Backend Developer,Bachelor,9,88065,No,,2017-08-05,No,5,4,No,No,8
74,Employee74,LastName74,37,Male,HR,Recruiter,Bachelor,10,144663,No,,2015-02-07,No,1,4,Yes,No,0
75,Employee75,LastName75,25,Female,HR,HR Specialist,Bachelor,10,114621,No,,2018-01-15,No,4,5,Yes,Yes,2
76,Employee76,LastName76,61,Female,HR,HR Specialist,Bachelor,8,105443,No,,2021-02-28,No,3,4,No,Yes,7
77,Employee77,LastName77,26,Male,R&D,Senior Research Scientist,PhD,15,77780,No,,2017-10-01,No,4,3,Yes,No,7
78,Employee78,LastName78,46,Male,HR,HR Coordinator,Bachelor,19,131275,No,,2018-01-19,No,4,3,Yes,Yes,9
79,Employee79,LastName79,40,Female,Marketing,Content Manager,PhD,8,69920,No,,2023-08-14,No,5,3,Yes,Yes,10
80,Employee80,LastName80,41,Male,Marketing,Content Manager,Bachelor,15,83680,No,,2010-10-01,No,3,4,Yes,Yes,2
81,Employee81,LastName81,55,Female,Operations,Production Manager,Master,17,83684,No,,2016-02-11,No,3,1,No,Yes,2
82,Employee82,LastName82,65,Male,Operations,Logistics Manager,Bachelor,13,79663,No,,2022-07-02,No,5,1,No,No,10
83,Employee83,LastName83,59,Female,Marketing,Digital Marketing Specialist,Bachelor,13,126205,Yes,2019-09-22,2018-05-02,No,5,3,Yes,Yes,10
84,Employee84,LastName84,41,Female,Operations,Operations Manager,Master,14,109569,Yes,2018-01-01,2012-08-13,No,1,1,Yes,Yes,6
85,Employee85,LastName85,64,Female,Finance,Accountant,Master,18,130841,No,,2019-05-27,No,1,4,No,No,0
86,Employee86,LastName86,35,Female,Marketing,Brand Manager,Bachelor,15,134873,No,,2019-12-22,No,3,5,No,Yes,6
87,Employee87,LastName87,29,Male,R&D,Research Scientist,Master,15,76925,No,,2012-01-21,Yes,2,5,Yes,Yes,8
88,Employee88,LastName88,36,Male,IT,DevOps Engineer,Bachelor,11,62038,No,,2013-04-23,Yes,5,3,Yes,Yes,10
89,Employee89,LastName89,30,Male,Operations,Supply Chain Manager,PhD,1,87437,No,,2018-01-13,No,1,2,No,Yes,2
90,Employee90,LastName90,55,Female,Marketing,Brand Manager,PhD,4,122812,No,,2011-06-05,No,1,4,Yes,Yes,10
91,Employee91,LastName91,51,Female,Sales,Account Manager,Master,1,134928,No,,2011-05-14,No,1,4,No,Yes,1
92,Employee92,LastName92,26,Male,R&D,Senior Research Scientist,PhD,5,114541,No,,2016-03-02,No,3,4,No,Yes,1
93,Employee93,LastName93,49,Male,Operations,Logistics Manager,Master,15,99524,No,,2015-02-15,No,1,3,No,No,10
94,Employee94,LastName94,31,Female,R&D,Senior Research Scientist,Bachelor,16,142594,Yes,2012-01-24,2011-07-04,Yes,3,2,Yes,No,10
95,Employee95,LastName95,44,Female,HR,Training Specialist,Master,14,91090,No,,2011-02-26,No,1,5,Yes,Yes,10
96,Employee96,LastName96,28,Male,Finance,Financial Manager,PhD,12,74643,No,,2022-06-23,No,4,5,Yes,No,0
97,Employee97,LastName97,41,Female,IT,QA Engineer,PhD,11,97531,Yes,2022-10-31,2017-11-15,Yes,1,2,Yes,Yes,8
98,Employee98,LastName98,48,Female,IT,QA Engineer,PhD,15,56135,Yes,2019-06-23,2017-08-24,No,1,2,Yes,Yes,10
99,Employee99,LastName99,50,Female,HR,Recruiter,Master,14,73255,No,,2020-11-22,No,5,1,No,No,1
100,Employee100,LastName100,55,Female,R&D,Research Scientist,Bachelor,10,84507,Yes,2014-06-18,2011-01-08,Yes,2,2,No,No,5
101,Employee101,LastName101,53,Male,HR,HR Specialist,PhD,14,118233,Yes,2017-01-03,2013-12-10,No,3,1,No,Yes,6
102,Employee102,LastName102,26,Female,HR,Recruiter,PhD,11,128904,No,,2022-11-30,No,4,3,Yes,No,0
103,Employee103,LastName103,61,Male,R&D,Research Director,Master,15,122184,Yes,2022-12-07,2018-02-12,Yes,4,5,Yes,No,4
104,Employee104,LastName104,36,Female,Marketing,Marketing Specialist,PhD,11,111840,Yes,2017-05-27,2013-10-09,No,2,3,No,Yes,3
105,Employee105,LastName105,38,Male,HR,HR Manager,Bachelor,7,146298,No,,2013-11-22,No,4,4,No,No,10
106,Employee106,LastName106,50,Male,R&D,Research Scientist,Master,3,111497,Yes,2022-04-19,2020-07-08,No,1,3,No,No,0
107,Employee107,LastName107,40,Female,HR,Training Specialist,Master,3,105648,No,,2012-01-10,No,5,5,Yes,No,9
108,Employee108,LastName108,42,Male,Marketing,Marketing Specialist,Master,20,58566,No,,2020-09-01,No,3,1,Yes,Yes,3
109,Employee109,LastName109,50,Female,Marketing,Brand Manager,Master,17,82079,No,,2021-09-22,No,4,4,No,Yes,10
110,Employee110,LastName110,26,Female,Marketing,Digital Marketing Specialist,Master,11,78029,No,,2012-02-14,No,5,2,No,Yes,9
111,Employee111,LastName111,44,Male,Marketing,Marketing Specialist,Master,10,118259,Yes,2022-11-05,2018-10-16,No,4,3,Yes,Yes,10
112,Employee112,LastName112,54,Female,Marketing,Content Manager,Bachelor,12,89791,No,,2010-05-30,No,4,2,Yes,Yes,2
113,Employee113,LastName113,28,Female,HR,Training Specialist,Bachelor,17,131760,No,,2022-02-08,No,3,5,Yes,No,2
114,Employee114,LastName114,61,Male,IT,Full Stack Developer,PhD,6,82346,Yes,2021-12-10,2019-10-26,Yes,4,2,Yes,No,7
115,Employee115,LastName115,45,Male,Operations,Production Manager,Master,19,110916,No,,2019-11-19,No,5,4,Yes,Yes,9
116,Employee116,LastName116,25,Female,IT,Backend Developer,PhD,16,61341,No,,2018-04-29,Yes,3,1,Yes,No,7
117,Employee117,LastName117,49,Male,Sales,Sales Director,Bachelor,3,99381,No,,2014-12-24,No,1,4,No,Yes,6
118,Employee118,LastName118,36,Female,HR,HR Coordinator,Bachelor,1,63035,No,,2017-02-23,No,1,3,No,Yes,7
119,Employee119,LastName119,27,Male,Finance,Accountant,PhD,1,140320,No,,2015-09-28,No,5,5,No,Yes,4
120,Employee120,LastName120,29,Female,IT,Software Engineer,Bachelor,2,110513,No,,2015-05-08,No,5,5,Yes,Yes,2
121,Employee121,LastName121,22,Female,R&D,Senior Engineer,PhD,20,92265,Yes,2020-05-01,2017-11-30,Yes,1,5,Yes,No,7
122,Employee122,LastName122,45,Female,HR,HR Manager,Master,9,76604,No,,2010-05-14,No,1,5,No,Yes,0
123,Employee123,LastName123,63,Female,R&D,Principal Engineer,Bachelor,6,53270,No,,2020-06-03,No,4,1,No,Yes,0
124,Employee124,LastName124,24,Male,Operations,Logistics Manager,Master,11,49799,No,,2016-12-15,No,2,3,No,Yes,10
125,Employee125,LastName125,29,Female,R&D,Senior Research Scientist,Master,12,69486,No,,2019-10-20,No,4,4,No,No,1
126,Employee126,LastName126,27,Female,Marketing,Content Manager,PhD,14,83504,No,,2023-07-07,No,3,1,Yes,No,10
127,Employee127,LastName127,50,Female,R&D,Principal Scientist,Bachelor,20,140265,Yes,2022-02-16,2019-07-23,No,3,5,No,No,10
128,Employee128,LastName128,26,Male,Operations,Supply Chain Manager,Bachelor,13,63714,No,,2018-02-24,No,5,4,Yes,Yes,1
129,Employee129,LastName129,45,Female,IT,DevOps Engineer,Master,13,103188,Yes,2023-08-31,2022-09-21,No,1,5,Yes,No,6
130,Employee130,LastName130,37,Female,R&D,Research Manager,Master,4,118619,No,,2010-08-01,No,1,3,No,No,3
131,Employee131,LastName131,53,Female,Sales,Account Manager,Bachelor,7,138502,Yes,2013-03-31,2012-10-01,No,4,1,No,No,1
132,Employee132,LastName132,41,Female,Sales,Sales Representative,Bachelor,6,71342,No,,2013-11-27,No,2,2,No,Yes,5
133,Employee133,LastName133,51,Female,Sales,Sales Manager,Bachelor,18,85539,No,,2012-11-29,No,4,4,No,No,9
134,Employee134,LastName134,42,Male,HR,Training Specialist,Master,3,61821,No,,2020-02-04,No,5,5,Yes,Yes,6
135,Employee135,LastName135,29,Male,Sales,Sales Representative,Master,17,137973,No,,2013-06-07,No,2,3,No,Yes,4
136,Employee136,LastName136,30,Female,IT,QA Engineer,PhD,10,65210,Yes,2025-08-22,2021-12-19,Yes,2,5,No,Yes,0
137,Employee137,LastName137,63,Male,HR,Training Specialist,Master,19,126016,No,,2015-12-09,No,1,4,No,No,7
138,Employee138,LastName138,41,Female,IT,Full Stack Developer,Master,15,108471,No,,2011-08-21,Yes,4,2,No,Yes,5
139,Employee139,LastName139,44,Female,Operations,Operations Manager,Master,13,76685,No,,2012-12-07,No,4,1,No,No,3
140,Employee140,LastName140,25,Male,IT,Data Analyst,Bachelor,10,87917,No,,2018-08-13,No,5,3,Yes,Yes,7
141,Employee141,LastName141,53,Female,Sales,Account Manager,PhD,10,104930,Yes,2026-07-15,2021-02-26,No,2,2,No,Yes,0
142,Employee142,LastName142,60,Female,R&D,Senior Research Scientist,Bachelor,16,79664,Yes,2021-03-29,2016-05-29,Yes,3,4,No,Yes,6
143,Employee143,LastName143,45,Male,HR,Recruiter,PhD,18,81663,Yes,2019-05-20,2016-06-22,No,5,5,Yes,Yes,1
144,Employee144,LastName144,43,Female,Finance,Accountant,PhD,18,111731,No,,2018-03-15,No,4,5,Yes,Yes,0
145,Employee145,LastName145,52,Female,IT,DevOps Engineer,PhD,17,86750,Yes,2025-05-04,2020-04-01,Yes,2,4,No,No,8
146,Employee146,LastName146,58,Female,Operations,Production Manager,Master,10,133317,No,,2020-08-26,No,1,4,No,Yes,9
147,Employee147,LastName147,63,Female,Finance,Financial Analyst,PhD,19,107973,No,,2022-12-15,No,2,5,No,Yes,10
148,Employee148,LastName148,58,Male,IT,Data Analyst,Master,4,135505,Yes,2016-02-13,2014-04-12,No,2,4,No,Yes,2
149,Employee149,LastName149,57,Male,Sales,Sales Director,Bachelor,11,105249,No,,2020-09-23,No,5,3,No,No,9
150,Employee150,LastName150,37,Male,Finance,Financial Manager,Master,9,137392,No,,2022-07-08,No,2,4,No,No,5
151,Employee151,LastName151,40,Female,Sales,Account Manager,Master,4,90237,No,,2022-11-11,No,2,3,Yes,No,1
152,Employee152,LastName152,63,Female,R&D,Research Manager,PhD,9,80601,Yes,2025-06-20,2020-09-29,No,2,1,Yes,Yes,0
153,Employee153,LastName153,62,Male,Marketing,Digital Marketing Specialist,Bachelor,8,134285,Yes,2013-02-10,2011-03-07,No,2,1,Yes,No,10
154,Employee154,LastName154,63,Female,Finance,Financial Analyst,Bachelor,7,130498,No,,2016-06-11,No,5,2,Yes,Yes,6
155,Employee155,LastName155,24,Male,Operations,Production Manager,Bachelor,13,46214,No,,2021-02-10,No,3,5,Yes,No,4
156,Employee156,LastName156,30,Female,Finance,Financial Analyst,Master,17,66298,No,,2020-07-01,No,4,3,Yes,Yes,5
157,Employee157,LastName157,58,Female,Operations,Logistics Manager,Master,7,112538,No,,2013-12-08,No,3,1,No,Yes,2
158,Employee158,LastName158,42,Female,IT,DevOps Engineer,Master,8,84576,Yes,2011-07-22,2010-02-25,No,5,5,Yes,No,10
159,Employee159,LastName159,25,Male,R&D,Senior Engineer,PhD,4,83671,Yes,2022-10-17,2020-06-09,No,3,5,Yes,Yes,2
160,Employee160,LastName160,51,Male,Finance,Budget Analyst,Master,20,144267,No,,2018-05-19,No,5,2,Yes,Yes,8
161,Employee161,LastName161,26,Female,Finance,Budget Analyst,Bachelor,19,120065,Yes,2015-09-02,2012-07-08,No,5,2,Yes,No,8
162,Employee162,LastName162,65,Male,Finance,Budget Analyst,Master,7,52292,No,,2023-01-30,No,4,2,No,No,9
163,Employee163,LastName163,65,Female,HR,HR Manager,PhD,10,73560,No,,2010-06-28,No,5,1,Yes,No,5
164,Employee164,LastName164,56,Male,Marketing,Digital Marketing Specialist,Bachelor,2,82629,No,,2011-07-20,No,4,2,Yes,No,5
165,Employee165,LastName165,46,Female,Finance,Budget Analyst,Bachelor,13,130660,No,,2011-10-20,No,3,1,Yes,No,8
166,Employee166,LastName166,22,Male,IT,QA Engineer,Master,1,75102,No,,2016-09-10,No,2,4,No,Yes,4
167,Employee167,LastName167,24,Male,IT,Software Engineer,PhD,14,49400,No,,2010-05-09,Yes,4,5,Yes,Yes,0
168,Employee168,LastName168,36,Female,Finance,Financial Analyst,Bachelor,18,111046,No,,2014-11-15,No,3,2,No,No,3
169,Employee169,LastName169,64,Male,R&D,Research Manager,PhD,17,141365,Yes,2016-07-31,2014-12-16,Yes,2,4,No,Yes,5
170,Employee170,LastName170,55,Female,Marketing,Brand Manager,Master,11,69101,No,,2019-05-04,No,5,4,Yes,Yes,4
171,Employee171,LastName171,51,Male,Operations,Logistics Manager,PhD,2,114467,No,,2022-08-13,No,2,4,Yes,No,3
172,Employee172,LastName172,50,Male,R&D,Research Scientist,Master,12,94436,Yes,2016-10-21,2012-01-28,Yes,5,5,Yes,Yes,3
173,Employee173,LastName173,52,Male,Operations,Operations Manager,Bachelor,7,69906,No,,2017-06-20,No,1,4,Yes,Yes,6
174,Employee174,LastName174,40,Female,IT,DevOps Engineer,Master,13,92139,No,,2020-06-16,No,5,4,No,Yes,7
175,Employee175,LastName175,35,Female,Operations,Supply Chain Manager,PhD,12,64126,No,,2017-01-07,No,1,3,No,No,2
176,Employee176,LastName176,36,Female,IT,QA Engineer,PhD,13,134764,No,,2022-10-12,No,3,3,No,No,7
177,Employee177,LastName177,32,Female,IT,QA Engineer,Bachelor,5,54742,No,,2022-04-05,Yes,1,1,No,Yes,10
178,Employee178,LastName178,31,Male,IT,Software Engineer,PhD,1,128588,No,,2014-11-27,No,5,4,No,Yes,0
179,Employee179,LastName179,22,Female,Sales,Sales Director,Bachelor,1,110826,No,,2021-11-15,No,4,2,Yes,Yes,8
180,Employee180,LastName180,34,Male,IT,DevOps Engineer,Master,20,55357,No,,2021-10-22,No,3,4,No,Yes,3
181,Employee181,LastName181,63,Male,R&D,Research Scientist,PhD,2,46238,Yes,2014-04-17,2012-02-05,No,2,1,No,No,10
182,Employee182,LastName182,58,Female,Operations,Supply Chain Manager,Bachelor,4,135739,No,,2021-11-05,No,5,4,No,Yes,1
183,Employee183,LastName183,56,Female,Marketing,Brand Manager,Bachelor,19,72152,Yes,2015-08-03,2010-09-27,No,5,2,No,Yes,4
184,Employee184,LastName184,58,Male,IT,Backend Developer,PhD,13,55279,No,,2022-02-15,Yes,5,3,Yes,Yes,6
185,Employee185,LastName185,43,Male,IT,Software Engineer,PhD,20,80825,No,,2023-05-12,No,4,4,Yes,No,8
186,Employee186,LastName186,33,Female,Finance,Financial Manager,Bachelor,19,138468,Yes,2022-01-27,2018-07-11,No,1,1,No,Yes,6
187,Employee187,LastName187,46,Male,Marketing,Brand Manager,Master,11,92175,Yes,2018-03-14,2018-02-02,No,3,1,Yes,Yes,2
188,Employee188,LastName188,57,Female,Finance,Financial Analyst,Bachelor,18,91388,No,,2021-06-29,No,5,1,No,No,0
189,Employee189,LastName189,46,Female,R&D,Research Manager,Bachelor,3,134825,No,,2022-07-20,Yes,4,2,Yes,No,4
190,Employee190,LastName190,31,Female,R&D,Principal Scientist,Bachelor,3,92333,Yes,2016-03-11,2013-10-01,No,3,2,No,Yes,7
191,Employee191,LastName191,41,Male,HR,Training Specialist,Master,1,88193,No,,2018-11-16,No,4,3,No,Yes,4
192,Employee192,LastName192,52,Male,R&D,Senior Scientist,PhD,11,136089,No,,2013-12-26,No,4,5,Yes,No,6
193,Employee193,LastName193,45,Female,R&D,Research Manager,Bachelor,4,140317,Yes,2025-10-15,2022-08-25,Yes,4,2,No,No,1
194,Employee194,LastName194,65,Female,Operations,Supply Chain Manager,Master,16,131332,No,,2013-02-14,No,2,4,No,Yes,7
195,Employee195,LastName195,59,Female,Sales,Account Manager,PhD,13,49818,No,,2021-12-26,No,3,5,Yes,Yes,3
196,Employee196,LastName196,32,Female,Marketing,Digital Marketing Specialist,Master,20,149363,No,,2010-12-29,No,4,1,Yes,Yes,4
197,Employee197,LastName197,50,Male,IT,DevOps Engineer,Bachelor,12,108277,No,,2018-10-10,Yes,1,3,No,Yes,1
198,Employee198,LastName198,44,Male,Operations,Supply Chain Manager,PhD,10,108298,No,,2017-09-11,No,3,4,Yes,No,7
199,Employee199,LastName199,41,Male,R&D,Principal Engineer,PhD,2,76970,Yes,2014-08-02,2012-07-31,Yes,5,2,Yes,No,8
200,Employee200,LastName200,36,Female,Finance,Senior Analyst,Master,13,48826,Yes,2017-11-27,2014-02-20,No,5,2,No,No,6
201,Employee201,LastName201,35,Male,HR,Training Specialist,Bachelor,9,92945,No,,2011-05-28,No,3,2,No,Yes,4
202,Employee202,LastName202,55,Female,Marketing,Digital Marketing Specialist,PhD,11,59972,No,,2023-05-23,No,3,3,No,Yes,10
203,Employee203,LastName203,61,Female,Marketing,Brand Manager,Bachelor,19,76270,No,,2011-11-26,No,3,1,Yes,No,2
204,Employee204,LastName204,48,Female,Sales,Account Manager,Bachelor,20,108788,No,,2013-02-03,No,5,2,Yes,No,4
205,Employee205,LastName205,42,Male,IT,Full Stack Developer,Bachelor,15,70575,No,,2011-03-16,Yes,4,5,No,No,10
206,Employee206,LastName206,50,Female,Finance,Accountant,Master,16,49285,Yes,2014-01-03,2013-10-02,No,3,2,No,Yes,7
207,Employee207,LastName207,57,Female,Sales,Sales Director,PhD,17,93085,No,,2012-07-16,No,5,1,No,Yes,6
208,Employee208,LastName208,41,Male,HR,HR Manager,Master,2,60386,No,,2020-02-02,No,2,2,No,No,2
209,Employee209,LastName209,35,Male,Sales,Sales Director,PhD,7,115617,No,,2011-05-02,No,2,3,No,No,9
210,Employee210,LastName210,30,Male,R&D,Principal Engineer,Bachelor,14,64168,No,,2011-05-01,Yes,3,2,No,No,2
211,Employee211,LastName211,62,Female,Sales,Sales Manager,Master,14,112582,No,,2018-06-01,No,3,3,No,No,5
212,Employee212,LastName212,27,Male,Sales,Account Manager,Bachelor,15,101314,No,,2018-01-13,No,2,4,No,No,4
213,Employee213,LastName213,58,Male,R&D,Research Scientist,Bachelor,16,127074,No,,2017-09-16,Yes,4,1,Yes,Yes,7
214,Employee214,LastName214,49,Male,Finance,Financial Manager,Bachelor,7,80916,No,,2012-12-16,No,1,3,No,Yes,5
215,Employee215,LastName215,25,Male,Marketing,Content Manager,Master,13,130915,No,,2016-11-07,No,1,1,Yes,Yes,7
216,Employee216,LastName216,59,Male,HR,HR Manager,Bachelor,8,136173,No,,2021-08-26,No,3,1,No,Yes,7
